id,revenue,runtime,popularity
299534,2797800564,181.0,193.659
1865,1045713802,136.0,79.193
99861,1405403694,141.0,85.183
299536,2046239637,149.0,229.85
285,961000000,169.0,77.611
141052,657924295,120.0,112.464
206647,880674609,148.0,66.378
181812,1074144248,142.0,164.723
348350,392952373,135.0,66.493
49529,284139100,132.0,31.818
209112,873634919,152.0,61.188
420818,1656943394,118.0,182.649
38757,592461732,100.0,50.744
559,890871626,139.0,49.785
271110,1153296293,147.0,69.963
767,933959197,153.0,79.24
57158,958400000,161.0,46.619
122917,956019788,144.0,77.033
337339,1238764765,136.0,132.577
370172,0,163.0,30.076
19995,2787965087,162.0,77.821
1452,391081192,154.0,20.369
49026,1081041287,165.0,51.422
166426,794861794,129.0,76.642
10764,589580482,106.0,41.4
24428,1519557910,143.0,98.751
58,1065659812,151.0,82.037
49521,668045518,143.0,45.331
2454,419665568,150.0,30.062
57201,89289910,149.0,28.48
102382,708962323,142.0,67.089
44833,303025485,131.0,31.438
335988,605425157,149.0,57.404
135397,1671713208,124.0,80.016
41154,624026776,106.0,31.618
8373,836303693,150.0,11.939
91314,1104054072,165.0,48.329
36668,459359555,104.0,1.661
375588,86493046,116.0,45.144
254,562363449,187.0,43.274
2268,372234864,113.0,23.994
577922,347100000,150.0,158.121
284054,1346739107,134.0,103.072
597,2187463944,194.0,67.173
260513,1242805359,118.0,100.264
330459,1056057273,133.0,41.37
127380,1028570889,97.0,30.584
301528,1073394593,100.0,181.131
10193,1066969703,103.0,50.045
68721,1214811252,130.0,54.859
283995,863756051,137.0,70.486
102382,708962323,142.0,67.089
12092,572000000,75.0,31.928
37724,1108561013,143.0,50.211
49051,1021103568,169.0,47.515
62211,743559607,104.0,44.408
68728,491868548,130.0,25.408
127585,747862775,132.0,76.232
102382,708962323,142.0,67.089
49013,559852396,106.0,39.81
385687,0,0.0,101.838
20526,400062763,125.0,28.748
14161,769653595,158.0,44.224
338952,653355901,134.0,106.679
534,371353001,115.0,34.155
44912,219851172,114.0,39.385
9543,335154643,116.0,26.167
320288,252442974,114.0,108.911
337401,57000000,115.0,752.021
38356,1123794079,154.0,8.84
564,415885488,124.0,41.245
81005,197687603,114.0,30.583
168259,1515047671,137.0,74.548
54138,467365246,132.0,27.235
72190,531865000,116.0,58.072
64682,351040419,143.0,23.517
17979,325286646,96.0,33.611
68726,407602906,131.0,68.975
105864,332207671,93.0,49.933
1726,585174222,126.0,76.777
155,1004558444,152.0,62.289
217,786636033,122.0,28.602
62177,538983207,93.0,37.598
293167,566652812,118.0,62.06
188927,343471816,122.0,39.071
420809,491570967,118.0,195.656
